Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
Instamojo,2012.0,Bangaluru,FinTech,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.","Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital",,Seed,,Bangaluru,India
Turtlemint,2015.0,Mumbai,HealthTech,Turtlemint has built Indian personalized insurance platform,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",30000000 ,Seed,,Mumbai,India
Arata,2017.0,New Delhi,E-commerce,Arata is an e-commerce site for beauty products and cosmetics.,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,1000000 ,Pre-Series A,,New Delhi,India
MPL,2018.0,Bangaluru,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000 ,Seed,,Bangaluru,India
True Balance,2014.0,Gurugram,FinTech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",28000000 ,Seed,,Gurugram,India
Thrive,2020.0,Mumbai,FoodTech,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.","Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital",,Pre-Series A,,Mumbai,India
Kitchens Centre,2019.0,New Delhi,Proptech,Kitchens Centre offers turnkey solutions to cloud kitchens.,Lakshay Jain,"Jonathan Swanson, Ankush Gera",,Pre-Series A,,New Delhi,India
Prescribe,2019.0,Chennai,HealthTech,Provide online services to patients by leveraging WhatsApp.,Nived Narayanan,Titan Capital,100000 ,Seed,,Chennai,India
Nepra,2006.0,Ahmedabad,CleanTech,NEPRA Resource Management provides waste management solutions in India.,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",18000000 ,Series C,,Ahmedabad,India
inFeedo,2013.0,Gurugram,SaaS,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",Tanmaya Jain,"Peyush Bansal, Ritesh Malik",3200000 ,Seed,,Gurugram,India
Shilpa Sciences,2014.0,Bangaluru,HealthTech,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,Ashwin Lal,AngelList India,,Pre-Series A,,Bangaluru,India
Arzooo,2016.0,Bangaluru,Tech,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",,Seed,,Bangaluru,India
MindTickle,2011.0,Pune,SaaS,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",100000000 ,Debt,,Pune,India
Krimanshi,2015.0,Jodhpur,Biotechnology,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000 ,Seed,,Jodhpur,India
Slice,2016.0,Bangaluru,FinTech,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",5000000 ,Debt,,Bangaluru,India
Rapawalk,2017.0,Bangaluru,E-commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",300000 ,Seed,,Bangaluru,India
Oga Fit's,2017.0,Bangaluru,Fitness,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,9Unicorns,,Pre-Series A,,Bangaluru,India
LAVAL,2016.0,Bangaluru,Cosmetics,"Laval Cosmetics, affordable makeup for all ages","Shrishti, Prithika",Jazal Group,,Pre-Series A,,Bangaluru,India
Stride Ventures,2019.0,New Delhi,Venture capitalist,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,Ishpreet Gandhi,Small Industries Development Bank of India,80000000 ,Seed,,New Delhi,India
BlackSoil,2016.0,Mumbai,FinTech,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,Undisclosed,10000000 ,Seed,,Mumbai,India
Biocon,1978.0,Bangaluru,Healthcare,"Biocon is a healthcare and technology, company focused on biotechnology.",Kiran Mazumdar-Shaw,Goldman Sachs,15000000 ,Seed,,Bangaluru,India
Clientjoy,2013.0,Gujarat,SaaS,Client Management Software For Modern Agencies.,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",800000 ,Pre-Series A,,Gujarat,India
Xpressbees,2015.0,Pune,E-commerce,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital",100000000 ,Seed,,Pune,India
GalaxyCard,2017.0,Gurugram,FinTech,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,"Amit Kumar, Gunjeet Singh",India Accelerator,,Seed,,Gurugram,India
Wellness Forever,2008.0,Mumbai,HealthTech,Wellness Forever is the one-stop destination for wellness,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group",100000000 ,Seed,,Mumbai,India
MoooFarm,2019.0,Gurugram,AgriTech,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",500000 ,Pre-Seed,,Gurugram,India
BitClass,2020.0,Bangaluru,PaaS,BitClass is a PaaS solution which helps teachers set up their independent live classes,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000 ,Seed,,Bangaluru,India
Gonuts,2020.0,Mumbai,Entertainment,Personalised Video shoutouts from favourite celebrity.,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",400000 ,Seed,,Mumbai,India
Uolo,2013.0,Bangaluru,EdTech,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",2000000 ,Seed,,Bangaluru,India
Kirana King,2014.0,Jaipur,Retail,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Anup Kumar,Rajasthan Venture Capital Fund,900000 ,Pre-Series A,,Jaipur,India
Jade Forest,2015.0,Delhi,Beverages,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.","Punweet Singh, Shuchir Suri",Undisclosed,250000 ,Seed,,Delhi,India
iKure,2010.0,Kolkata,HealthTech,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",,Seed,,Kolkata,India
FrontRow,2015.0,Bangaluru,EdTech,"Comprehensive courses, taught by idols.","Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",3200000 ,Seed,,Bangaluru,India
Reliance Retail,2006.0,Mumbai,E-commerce,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC",10000000 ,Seed,,Mumbai,India
TUBBR,2019.0,"Texas, United States",Social Media,World's First Personal Social Network,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners,,Seed,,Texas, United States
Ather Energy,2013.0,Bangaluru,Automobile,Ather Energy is a manufacturer of electric scooters.,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,35000000 ,Series D,,Bangaluru,India
Routematic,2007.0,Bangaluru,SaaS,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra",2000000 ,Seed,,Bangaluru,India
LivFin,2017.0,New Delhi,FinTech,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),Rakesh Malhotra,"DEG, KFW DEG",4700000 ,Seed,,New Delhi,India
Universal Sportsbiz Pvt Ltd,2012.0,Bangaluru,Fashion,A fashion startup based in Bengaluru.,Anjana Reddy,"Accel, Alteria Capital",,Seed,,Bangaluru,India
Lattu Kids,2017.0,Mumbai,EdTech,Lattu kids is an edutainment platform for preschool kids.,Vivek Bhutyani,Mumbai Angels Network,,Seed,,Mumbai,India
Eggoz,2016.0,Indore,Food & Bevarages,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",1500000 ,Pre-Series A,,Indore,India
Steradian Semiconductors,2016.0,Bangaluru,Deeptech,Semiconductor company focused on CMOS millimeter wave products for Radar.,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.,,Seed,,Bangaluru,India
CHARGE+ZONE,2018.0,Gujarat,EV,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.","Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,3000000 ,Pre-Series A,,Gujarat,India
Stones2milestones,2008.0,Gurugram,EdTech,Stones2milestones is India (Delhi) Based EdTech Company,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2000000 ,Bridge,,Gurugram,India
Udacity,2011.0,"California, United States",EdTech,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",75000000 ,Debt,,California, United States
AjnaLens,2014.0,Thane,AR/VR,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.","Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",1000000 ,Bridge,,Thane,India
Gully Network,2019.0,Bangaluru,E-commerce,Gully Network is a tech-enabled network of mid-sized grocery stores.,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",1200000 ,Pre-Series A,,Bangaluru,India
TurboHire,2018.0,Hyderabad,Recruitment,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",1000000 ,Seed,,Hyderabad,India
Traya,2015.0,Mumbai,HealthTech,work with our customers closely to get their hair health sorted for long-term effective results,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital",,Seed,,Mumbai,India
Charcoal Eats,2015.0,Mumbai,QSR,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.","Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments,2000000 ,Seed,,Mumbai,India
Mitron TV,2020.0,Bangaluru,Video,Mitron is a free short videoplatform for next generation,"Shivank Agarwal, Anish Khandelwal",9Unicorns,,Seed,,Bangaluru,India
Svami,2016.0,Mumbai,Food & Bevarages,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,Sahil Jatana,"Niren Shah, Rukam Capital Trust",800000 ,Seed,,Mumbai,India
Dhurnia,2018.0,Dhingsara,EdTech,Developer of an online learning platform intended for various competitive exam preparations.,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",100000 ,Seed,,Dhingsara,India
Expertrons,2019.0,Mumbai,EdTech,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly",,Seed,,Mumbai,India
Leena AI,2015.0,"New York, United States",AI,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",8000000 ,Seed,,New York, United States
Bizlog,2016.0,Bangaluru,Logistics,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,1000000 ,Seed,,Bangaluru,India
Tamasha.live,2020.0,Mumbai,Gaming,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.","Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",300000 ,Seed,,Mumbai,India
Fedo,2017.0,Bangaluru,AI,Artificial Intelligence based Credit Score for Health,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,1000000 ,Seed,,Bangaluru,India
FabHotels,2015.0,Gurugram,Hospitality,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",1000000 ,Seed,,Gurugram,India
Freshokartz,2016.0,Jaipur,AgriTech,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000 ,Pre-Series A,,Jaipur,India
FlexiLoans,2016.0,Mumbai,FinTech,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.","Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,6000000 ,Debt,,Mumbai,India
Agrix,2020.0,Patna,AgriTech,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.","Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors,,Seed,,Patna,India
BharatAgri,2017.0,Pune,AgriTech,A Smart Farming Technology Platform for Indian Farmers,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient",,Pre-Series A,,Pune,India
FreshtoHome,2015.0,Bangaluru,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar",121000000 ,Series C,,Bangaluru,India
Credable,2017.0,Mumbai,FinTech,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Nirav Choksi,Oaks Asset Management,4500000 ,Seed,,Mumbai,India
Railofy,2019.0,Mumbai,Transportation,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",5000000 ,Seed,,Mumbai,India
Finova Capital,2016.0,Jaipur,FinTech,Finova Capital is a non-banking financial company.,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",55000000 ,Seed,,Jaipur,India
Teachmint,2020.0,Bangaluru,Edtech,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,3500000 ,Seed,,Bangaluru,India
Peel-Works,2010.0,Mumbai,E-commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle",3000000 ,Seed,,Mumbai,India
Janani,2020.0,Bangaluru,Fertility,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Nilay Mehrotra,9Unicorns,200000 ,Pre-Seed,,Bangaluru,India
Credgenics,2018.0,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",3300000 ,Seed,,Gurugram,India
Finelistings,2015.0,New Delhi,Luxury car,A Used Luxury Car Marketplace,Aneesh Mathur,Justdial,,Seed,,New Delhi,India
Wellversed,2018.0,New Delhi,Healthcare,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan",,Pre-Series A,,New Delhi,India
Nykaa,2012.0,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",,Seed,,Mumbai,India
Jumbotail,2015.0,Bangaluru,E-commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000 ,Series B2,,Bangaluru,India
